Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	24413.2	24016.2	24417.1	24015.2	1678.50513	12629.29297	355.47162	0.21379	0.72070	1254.37109	13235.62500	456	1	16	1	701.254	707.82	1107.16844	10.87351	24413.2	24016.2	24417.1	24015.2	701.3	701.3
647	23775.3	24480.1	23779.2	24479.1	801.67029	4449.48730	300.75714	1.00586	1.09529	1185.06714	4697.71094	465	1	19	1	585.252	592.059	390.07187	20.14420	23775.3	24480.1	23779.2	24479.1	585.3	585.3
647	23951.1	24834.9	23955.2	24833.8	914.71722	5674.32373	317.92758	0.67711	1.37757	1104.52527	5962.26172	474	1	14	1	530.1	537.149	497.44924	17.32257	23951.1	24834.9	23955.2	24833.8	530.1	530.1
647	24333.0	24905.9	24337.2	24904.8	1893.03027	12027.19141	322.17242	0.62103	1.42376	1189.68030	12628.14063	482	1	13	1	519.805	527.068	1054.38418	9.41108	24333.0	24905.9	24337.2	24904.8	519.8	519.8
647	24578.4	24612.9	24583.0	24611.7	1094.99158	8018.39209	344.45779	0.48658	1.23581	1181.30688	8460.66406	511	1	18	1	535.983	543.811	702.94597	15.03456	24578.4	24612.9	24583.0	24611.7	536.0	536.0
647	23944.6	24011.0	23949.3	24009.8	2259.69043	25717.82617	432.13300	0.18728	0.56166	1360.36462	26235.92188	512	1	11	1	805.085	812.916	2254.59695	8.47272	23944.6	24011.0	23949.3	24009.8	805.1	805.1
647	23876.9	24922.4	23881.8	24921.1	1521.96533	10343.30469	332.30988	0.19966	0.77444	1240.16443	11154.64063	527	1	23	1	667.351	675.229	906.76339	11.47221	23876.9	24922.4	23881.8	24921.1	667.4	667.4
647	24676.9	24940.4	24681.9	24939.1	1418.51306	12863.03320	386.17038	0.27955	0.63836	1146.17114	13441.21875	531	1	21	1	749.285	757.176	1127.65967	11.94315	24676.9	24940.4	24681.9	24939.1	749.3	749.3
647	24707.0	24709.3	24712.3	24707.9	1946.76733	11054.34668	304.20435	0.85350	1.02948	1178.50623	11432.19531	551	1	21	1	597.753	605.708	969.09809	9.15450	24707.0	24709.3	24712.3	24707.9	597.8	597.8
647	24529.9	24217.7	24535.4	24216.3	1611.40894	12012.10938	348.56268	0.64605	1.22520	1201.34473	12391.28125	567	1	17	1	535.247	543.253	1053.06199	10.80634	24529.9	24217.7	24535.4	24216.3	535.2	535.2
647	24329.5	24886.0	24335.1	24884.5	618.02179	3579.02808	307.71545	1.37111	1.57956	1097.48816	3785.91406	570	1	11	1	512.451	520.466	313.76158	24.88394	24329.5	24886.0	24335.1	24884.5	512.5	512.5
647	24474.8	24829.9	24480.5	24828.4	792.61401	4739.68945	310.97620	0.76474	1.27392	1115.36353	5091.18750	578	1	21	1	550.69	558.73	415.51293	19.69482	24474.8	24829.9	24480.5	24828.4	550.7	550.7
647	24510.1	24396.5	24516.2	24394.9	3121.57813	23847.23438	353.67764	0.25089	1.44588	1222.80823	24428.07813	599	1	19	1	485.243	493.349	2090.60834	6.28461	24510.1	24396.5	24516.2	24394.9	485.2	485.2
647	23913.5	24385.4	23919.6	24383.8	615.30884	3377.69189	303.01141	0.95456	1.16289	1137.50208	3752.39844	608	1	21	1	572.751	580.886	296.11110	25.92776	23913.5	24385.4	23919.6	24383.8	572.8	572.8
647	24503.4	24093.1	24509.4	24091.5	1982.16089	12345.98926	318.58984	0.53646	0.81606	1181.24084	12778.19922	626	1	21	1	648.28	656.472	1082.33214	9.01240	24503.4	24093.1	24509.4	24091.5	648.3	648.3
647	24332.5	24257.6	24338.5	24256.1	1040.02979	9414.56250	387.16794	1.08510	1.42547	1115.96716	9857.07031	636	1	17	1	445.533	453.757	825.34363	15.67625	24332.5	24257.6	24338.5	24256.1	445.5	445.5
647	24444.7	24894.8	24450.6	24893.2	602.00635	3958.89990	326.88022	0.76239	1.56218	1098.39343	4196.29688	637	1	19	1	497.744	505.971	347.06369	25.34584	24444.7	24894.8	24450.6	24893.2	497.7	497.7
647	24151.9	23895.8	24157.7	23894.2	638.21216	7214.07715	428.82895	0.22049	0.56831	1179.31750	7763.55469	646	1	21	1	801.553	809.808	632.43434	24.73299	24151.9	23895.8	24157.7	23894.2	801.6	801.6
647	24357.9	24297.6	24363.5	24296.1	2463.45459	18286.59570	348.04541	0.01181	1.48926	1225.91248	18724.51563	659	1	11	1	485.243	493.539	1603.12550	7.60419	24357.9	24297.6	24363.5	24296.1	485.2	485.2
647	23652.3	24432.3	23657.8	24430.8	633.28375	5419.25586	373.70581	0.81861	0.74743	1135.54126	5848.89844	661	1	23	1	712.556	720.858	475.08828	24.59909	23652.3	24432.3	23657.8	24430.8	712.6	712.6
647	24102.9	24470.8	24108.2	24469.3	616.69745	4814.06250	353.80423	0.69542	1.79623	1098.23047	5450.25000	679	1	19	1	442.592	450.951	422.03297	24.45908	24102.9	24470.8	24108.2	24469.3	442.6	442.6
647	24192.7	24896.0	24197.8	24894.5	914.44916	5290.47998	307.06500	0.86929	1.23919	1130.90955	5529.43359	690	1	15	1	558.779	567.173	463.79892	17.50768	24192.7	24896.0	24197.8	24894.5	558.8	558.8
647	24140.4	25050.7	24145.5	25049.3	886.68579	7567.69238	375.69257	1.11859	0.79008	1132.52649	8230.82813	691	1	23	1	704.08	712.477	663.43462	18.21488	24140.4	25050.7	24145.5	25049.3	704.1	704.1
647	23721.1	24443.0	23726.1	24441.5	1290.51111	8440.57813	326.81631	0.33732	0.78660	1180.33838	8819.41797	701	1	21	1	660.287	668.716	739.95763	13.07996	23721.1	24443.0	23726.1	24441.5	660.3	660.3
647	24747.7	24641.3	24752.7	24639.9	887.87720	21888.45898	331.38306	0.03748	0.83356	1145.54089	22201.99219	702	2	11	1	651.105	659.537	1918.88897	7.46516	24747.7	24641.3	24752.7	24639.9	651.1	651.1
647	24226.3	24257.7	24231.0	24256.3	1283.20972	11953.52148	392.76862	1.15900	1.43487	1148.62769	12474.45313	724	1	14	1	435.974	444.057	1047.92578	13.13637	24226.3	24257.7	24231.0	24256.3	436.0	436.0
647	24063.3	24430.1	24067.9	24428.7	973.72833	9374.64453	394.82242	1.20914	1.43159	1171.67615	10178.93750	729	1	17	1	433.768	441.771	821.84415	16.62742	24063.3	24430.1	24067.9	24428.7	433.8	433.8
647	24763.4	24822.5	24768.0	24821.1	1041.95984	7957.29785	353.59286	0.43533	0.77201	1124.78479	8689.55469	730	1	14	1	686.421	694.409	697.59004	15.55531	24763.4	24822.5	24768.0	24821.1	686.4	686.4
647	23837.7	24949.3	23842.3	24947.9	913.69946	6764.54053	347.38010	0.27977	0.67200	1115.22363	7188.91406	732	1	17	1	705.492	713.448	593.02495	17.39382	23837.7	24949.3	23842.3	24947.9	705.5	705.5
647	23921.0	24341.1	23925.3	24339.8	612.70587	3273.94336	295.14102	1.27101	0.91942	1115.22839	3471.80859	748	1	17	1	617.907	625.609	287.01581	25.20227	23921.0	24341.1	23925.3	24339.8	617.9	617.9
647	24726.6	24426.4	24730.9	24425.1	814.42029	6190.68945	355.90811	0.07479	0.69556	1088.26563	6569.26563	750	1	17	1	707.611	715.281	542.71732	19.51320	24726.6	24426.4	24730.9	24425.1	707.6	707.6
647	23809.2	24272.2	23813.5	24270.8	767.97705	6199.68213	362.35916	0.29446	0.70609	1128.44043	6593.25000	751	1	18	1	711.143	718.797	543.50567	20.44839	23809.2	24272.2	23813.5	24270.8	711.1	711.1
647	24352.3	24848.2	24356.3	24846.9	1306.50269	9723.86719	347.49323	0.06834	1.45278	1093.55334	10177.14063	773	1	15	1	491.126	498.43	852.45935	12.48165	24352.3	24848.2	24356.3	24846.9	491.1	491.1
647	24838.6	24738.9	24842.6	24737.6	917.05621	13955.46387	502.76932	0.04868	0.48655	1195.78394	14856.68750	774	1	17	1	875.012	882.3	1223.42946	18.10053	24838.6	24738.9	24842.6	24737.6	875.0	875.0
647	24293.8	24210.9	24297.7	24209.6	1916.88440	14543.93262	351.75864	0.27508	1.41799	1148.47229	14973.24219	778	1	20	1	491.861	499.086	1275.01858	9.16731	24293.8	24210.9	24297.7	24209.6	491.9	491.9
647	24261.4	24329.7	24265.2	24328.4	1446.79126	12186.44824	370.25055	0.02619	1.64929	1131.94592	12540.40625	789	1	14	1	438.18	445.23	1068.34570	11.58441	24261.4	24329.7	24265.2	24328.4	438.2	438.2
647	24460.4	24693.2	24463.9	24692.0	704.06891	5350.98193	352.12854	0.86899	1.85123	1124.34387	5776.52344	802	1	24	1	439.651	446.495	469.10293	22.19531	24460.4	24693.2	24463.9	24692.0	439.7	439.7
647	24479.2	24337.6	24482.4	24336.4	1476.82410	13898.13574	391.71664	0.15266	1.71874	1153.19849	14437.71875	829	1	17	1	404.353	410.769	1218.40370	11.46695	24479.2	24337.6	24482.4	24336.4	404.4	404.4
647	24001.5	24864.9	24004.5	24863.8	785.03613	7143.61426	383.19702	1.21688	1.36464	1099.48254	7522.60156	841	1	14	1	460.976	467.201	626.25709	19.66603	24001.5	24864.9	24004.5	24863.8	461.0	461.0
647	24265.6	23967.2	24268.5	23966.0	1615.18115	13640.65430	370.90128	0.09033	0.65002	1140.83179	14157.59375	851	1	18	1	732.333	738.399	1195.83115	10.56654	24265.6	23967.2	24268.5	23966.0	732.3	732.3
647	24433.8	24034.1	24436.6	24032.9	2128.28711	12407.13965	308.32556	1.31500	0.68750	1204.72681	12683.29297	857	1	16	1	670.882	676.853	1087.69299	8.55860	24433.8	24034.1	24436.6	24032.9	670.9	670.9
647	24575.4	24304.7	24578.1	24303.6	1400.20251	16212.80176	436.57333	1.38767	1.53226	1143.91931	17182.21094	858	1	23	1	363.908	369.863	1421.32283	12.06365	24575.4	24304.7	24578.1	24303.6	363.9	363.9
647	24616.8	24118.3	24619.5	24117.2	625.70587	6459.54736	407.51163	0.65518	0.64201	1136.19788	7189.76563	859	1	24	1	768.356	774.295	566.28720	24.53560	24616.8	24118.3	24619.5	24117.2	768.4	768.4
