Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc	Layer_number
647	21734.7	20998.1	21734.8	20997.6	3137.12793	20145.0	324.30307	0.94291	1.61259	1382.63232	20552.54688	179	1	19	1	321.332	319.862	1766.04567	6.514480000000001	21734.7	20998.1	21734.8	20997.6	321.3	321.3	1
647	21057.8	21368.6	21057.9	21367.9	4526.93408	44498.88672	404.23575	0.5845	1.99548	1406.6182900000001	45333.39063	196	1	23	1	199.748	197.954	3901.07055	4.9272	21057.8	21368.6	21057.9	21367.9	199.7	199.7	1
647	21167.1	20114.6	21167.2	20113.7	754.33307	8755.5957	435.50156	0.9740700000000001	0.63453	1332.5289300000002	9332.27344	214	1	26	1	610.362	608.224	767.57418	22.39675	21167.1	20114.6	21167.2	20113.7	610.4	610.4	1
647	21368.3	20273.4	21368.4	20272.4	2000.98303	59937.89453	382.17035	0.67323	1.51624	1645.7052	61056.140629999994	217	2	36	1	268.622	266.427	5254.55742	4.5843300000000005	21368.3	20273.4	21368.4	20272.4	268.6	268.6	1
647	20854.9	21174.0	20855.0	21173.0	1913.82483	13569.453130000002	326.84805	0.36821	1.37186	1692.0835	31273.73438	218	1	29	1	350.147	347.93199999999996	1189.5891800000002	9.87693	20854.9	21174.0	20855.0	21173.0	350.1	350.1	1
647	20715.7	20882.0	20715.8	20881.1	1110.6616199999999	11686.96289	417.70746	1.37636	1.4815200000000002	1379.64429	12196.40625	219	1	29	1	226.454	224.22099999999998	1024.55747	16.11222	20715.7	20882.0	20715.8	20881.1	226.5	226.5	1
647	21662.6	21122.3	21662.7	21121.4	783.4494599999999	4143.91064	295.58898999999997	1.3060100000000001	1.2302600000000001	1353.08765	4348.93359	219	1	31	1	388.8	386.56699999999995	363.28297000000003	22.05611	21662.6	21122.3	21662.7	21121.4	388.8	388.8	1
647	21092.1	20138.2	21092.2	20137.2	828.2674599999999	4697.68994	304.04446	1.15913	0.77905	1316.89929	4960.93359	220	1	30	1	469.816	467.56300000000005	411.83097000000004	20.439120000000003	21092.1	20138.2	21092.2	20137.2	469.8	469.8	1
647	21120.5	20061.1	21120.6	20060.1	1122.19165	7887.4292	338.45083999999997	0.48516000000000004	0.9864799999999999	1389.77148	8177.195309999999	223	1	27	1	432.292	429.98199999999997	691.4648900000001	15.7923	21120.5	20061.1	21120.6	20060.1	432.3	432.3	1
647	20959.8	21323.3	20959.9	21322.3	2226.85669	17251.05078	355.33148	1.1224299999999998	0.9869899999999999	1474.64075	17766.60156	223	1	32	1	435.70300000000003	433.39300000000003	1512.34269	8.803339999999999	20959.8	21323.3	20959.9	21322.3	435.7	435.7	1
647	21777.5	20582.1	21777.6	20581.0	1437.73181	9394.39648	325.61227	0.73056	0.6982	1462.6771199999998	9859.34375	225	1	25	1	500.51800000000003	498.17	823.57574	12.845180000000001	21777.5	20582.1	21777.6	20581.0	500.5	500.5	1
647	20563.6	20890.7	20563.8	20889.6	810.88959	6897.51465	373.66714	1.4694	0.87254	1300.32544	7350.5	229	1	22	1	495.74199999999996	493.31800000000004	604.68235	20.825960000000002	20563.6	20890.7	20563.8	20889.6	495.7	495.7	1
647	21145.3	20124.8	21145.4	20123.7	1682.56921	13790.96191	366.90881	0.5644399999999999	0.5785	1541.2423099999999	14870.734380000002	231	1	25	1	562.604	560.141	1209.00812	11.50043	21145.3	20124.8	21145.4	20123.7	562.6	562.6	1
647	21273.9	20282.2	21274.0	20281.0	2179.73828	16476.5	350.77982000000003	0.27983	1.40604	1373.69031	16759.50781	238	1	23	1	322.738	320.14099999999996	1444.44038	8.73645	21273.9	20282.2	21274.0	20281.0	322.7	322.7	1
647	20825.5	21193.3	20825.6	21192.0	679.96082	3560.8078600000003	292.16476	1.34641	1.03346	1437.59094	3893.04688	242	1	24	1	419.723	417.051	312.16427000000004	25.5473	20825.5	21193.3	20825.6	21192.0	419.7	419.7	1
647	21680.3	20312.7	21680.4	20311.4	1066.7511	7884.9047900000005	349.22832999999997	0.05167000000000001	0.7024199999999999	1424.2998	8775.10938	245	1	19	1	518.939	516.2090000000001	691.24358	16.89338	21680.3	20312.7	21680.4	20311.4	518.9	518.9	1
